Actual,Error,Predicted,,
2149000,-7215.486291,-2156215.486,,-0.335760181
2149000,-8610.427034,-2157610.427,,-0.400671337
2149000,-8644.446472,-2157644.446,,-0.402254373
2125000,-7309.019859,-2132309.02,,-0.343953876
2100000,-6064.877722,-2106064.878,,-0.288803701
2100000,-6498.76206,-2106498.762,,-0.30946486
2100000,-4570.919837,-2104570.92,,-0.217662849
2100000,-4988.953393,-2104988.953,,-0.237569209
2100000,-7951.943035,-2107951.943,,-0.378663954
2100000,-8383.224229,-2108383.224,,-0.399201154
2100000,-8668.049396,-2108668.049,,-0.412764257
2100000,-8691.501314,-2108691.501,,-0.413881015
2099999,-4863.060992,-2104862.061,,-0.231574443
2099888,-9055.666744,-2108943.667,,-0.431245226
2099000,-6519.922851,-2105519.923,,-0.310620431
2099000,-6871.937638,-2105871.938,,-0.327391026
2098000,-7882.858696,-2105882.859,,-0.375732064
2098000,-7601.047555,-2105601.048,,-0.362299693
2095000,-8495.241042,-2103495.241,,-0.405500766
2095000,-7313.447606,-2102313.448,,-0.349090578
2095000,-7376.53483,-2102376.535,,-0.352101901
2094990,-6614.13977,-2101604.14,,-0.315712236
2094990,-6614.278483,-2101604.278,,-0.315718857
2090000,-8039.612617,-2098039.613,,-0.38467046
2079000,-7866.862632,-2086866.863,,-0.378396471
2075000,-6671.838771,-2081671.839,,-0.321534399
2070000,-6975.237851,-2076975.238,,-0.336968012
2069000,-6938.03659,-2075938.037,,-0.335332846
2050000,-8046.535282,-2058046.535,,-0.392513916
2049000,-8401.354846,-2057401.355,,-0.410022198
2049000,-6704.224872,-2055704.225,,-0.327194967
2049000,-8967.426746,-2057967.427,,-0.437648938
